tag,tagId
based on a book,300
brutal,301
controversial,302
goretastic,303
violence,304
alternate reality,305
science fiction,306
time travel,307
Disturbing,308
great ending,309
mindfuck,310
surprise ending,311
suspense,312
cruel characters,313
brutality,314
threesome,315
Sexual Humor,316
embarassing scenes,317
offensive,318
R language,319
80's,320
Crude humor,321
Vulgar,322
sofia coppola,323
John Cusack,324
Ewan McGregor,325
Renee Zellweger,326
jackie chan,327
kung fu,328
Something for everyone in this one... saw it without and plan on seeing it with kids!,329
assassin,330
Jean Reno,331
assassin-in-training (scene),332
espionage,333
Robert Ludlum,334
test tag,335
feel-good,336
fun family movie,337
very funny,338
black and white,339
Christopher Nolan,340
directorial debut,341
not linear,342
hugh jackman,343
nonlinear,344
psychology,345
alan rickman,346
harry potter,347
humorous,348
Magic,349
insomnia,350
thought-provoking,351
amazing artwork,352
end of the world,353
mecha,354
gintama,355
remaster,356
space epic,357
cult film,358
dreamlike,359
hallucinatory,360
psychological,361
sentimental,362
memory,363
cinematography,364
India,365
oldie but goodie,366
big wave,367
surfing,368
ummarti2006,369
high school,370
Notable Nudity,371
moldy,372
old,373
moving,374
a clever chef rat,375
hope,376
mathematics,377
zombies,378
DEPRESSING,379
stupid,380
Favelas,381
narrated,382
reciprocal spectator,383
documentary,384
Henry Darger,385
the catholic church is the most corrupt organization in history,386
childish naivity,387
friendship,388
Bechdel Test:Fail,389
cartoon,390
children,391
computer animation,392
divorce,393
dreams,394
Narrative pisstake,395
american idolatry,396
Coen Brothers,397
Jeff Bridges,398
Matt Damon,399
celebrity fetishism,400
mediacentralism,401
system holism,402
city politics,403
italy,404
political right versus left,405
Creature Feature,406
music industry,407
remix culture,408
film history,409
poetic,410
representation of children,411
Disney animated feature,412
Oscar (Best Music - Original Score),413
awesome,414
british comedy,415
knights,416
highschool,417
cult,418
boksdrama,419
stiller,420
wapendrama,421
sisters,422
ROBOTS AND ANDROIDS,423
post-college,424
restaurant,425
transvestite,426
Paul Rudd,427
quotable,428
seen more than once,429
Amazing Cinematography,430
shakespeare,431
updated classics,432
Bruce Willis,433
ghosts,434
android(s)/cyborg(s),435
artificial intelligence,436
Bittersweet,437
Steven Spielberg,438
Bette Davis,439
Oscar (Best Actress),440
lesbian subtext,441
undercover cop,442
Christian Bale,443
Casey Affleck,444
twist,445
ending,446
Morgan Freeman,447
political commentary,448
Afghanistan,449
American propaganda,450
assassination,451
military,452
terrorism,453
tricky,454
addiction,455
heroin,456
Mark Wahlberg,457
Nudity (Full Frontal),458
cynical,459
independent film,460
space adventure,461
psychedelic,462
Tarantino,463
apocalypse,464
Arnold Schwarzenegger,465
nuclear war,466
based on a true story,467
KIDNAPPING,468
Steve Buscemi,469
edward norton,470
freedom of expression,471
Monty Python,472
emotional,473
jack nicholson,474
archaeology,475
indiana jones,476
aliens,477
horror,478
space craft,479
SPACE TRAVEL,480
Alfred Hitchcock,481
suspenseful,482
tense,483
special effects,484
masterpiece,485
Stanley Kubrick,486
Juliette Lewis,487
Robert De Niro,488
plot twist,489
mental illness,490
paranoid,491
goofy,492
creepy,493
paranoia,494
scary,495
SNL,496
Nicolas Cage,497
martial arts,498
adult humor,499
free speech,500
parody,501
south park,502
Trey Parker,503
obsession,504
secrets,505
serial killer,506
asylum,507
Brittany Murphy,508
Mental Hospital,509
winona ryder,510
claustrophobic,511
stephen king,512
scifi cult,513
David Bowie,514
mindless one liners,515
jake gyllenhaal,516
high fantasy,517
mythology,518
wizards,519
samurai,520
Rob Zombie,521
powerful ending,522
schizophrenia,523
lesbian,524
Modern war,525
based on a play,526
Insanity,527
PTSD,528
claymation,529
dark fairy tale,530
Psychological Thriller,531
stranded,532
alter ego,533
illusions,534
overcomplicated,535
stupid ending,536
absorbing,537
acting,538
morality,539
uplifting,540
too long,541
Metaphorical,542
annoying,543
Myth,544
Cambodia,545
crime,546
human rights,547
procedural,548
game,549
pregnancy,550
remake,551
president,552
Jane Austen,553
Hollywood,554
alcoholism,555
In Netflix queue,556
teacher,557
Animal movie,558
pigs,559
death penalty,560
Nun,561
twins,562
Emma,563
South Africa,564
England,565
Journalism,566
heist,567
adoption,568
prostitution,569
writing,570
Jekyll and Hyde,571
theater,572
golf,573
muppets,574
Scotland,575
dating,576
moon,577
NASA,578
Michael Crichton,579
submarine,580
computers,581
Made me cry,582
generation X,583
school,584
Ireland,585
movie business,586
basketball,587
France,588
infertility,589
Australia,590
Beethoven,591
Einstein,592
court,593
darth vader,594
luke skywalker,595
space opera,596
Louisa May Alcott,597
Girl Power,598
Christmas,599
prison,600
disability,601
hit men,602
TV,603
Death,604
marriage,605
wrongful imprisonment,606
Enterprise,607
coma,608
weddings,609
cross dressing,610
men in drag,611
remade,612
Tom Clancy,613
John Grisham,614
interracial romance,615
shrimp,616
Vietnam,617
gambling,618
bus,619
spies,620
Edith Wharton,621
horses,622
based on a TV show,623
hula hoop,624
biopic,625
Dinosaur,626
Japan,627
sexuality,628
AIDs,629
radio,630
show business,631
Butler,632
Housekeeper,633
racism,634
football,635
chess,636
C.S. Lewis,637
large cast,638
race,639
Empire State Building,640
beat poetry,641
Halloween,642
adolescence,643
American Indians,644
Native Americans,645
Hannibal Lector,646
priest,647
babies,648
Gulf War,649
spoof,650
Bugs Bunny,651
Veterinarian,652
Aardman,653
Alcatraz,654
Disaster,655
Atomic bomb,656
drug abuse,657
adultery,658
Capote,659
falling,660
voyeurism,661
Screwball,662
Brooch,663
Mount Rushmore,664
start of a beautiful friendship,665
statue,666
George Bernard Shaw,667
rich guy - poor girl,668
royalty,669
1900s,670
Dorothy,671
Toto,672
Civil War,673
television,674
movies,675
Rosebud,676
Hal,677
Mrs. DeWinter,678
Europe,679
war,680
amnesia,681
Cold War,682
Russia,683
swashbuckler,684
Shangri-La,685
Astaire and Rogers,686
homeless,687
oil,688
Nick and Nora Charles,689
leopard,690
fugitive,691
missionary,692
Tennessee Williams,693
Hemingway,694
food,695
King Arthur,696
nanny,697
Rogers and Hammerstein,698
anti-Semitism,699
governess,700
fish,701
Bible,702
religion,703
1920s,704
gangsters,705
dance,706
1960s,707
Jim Morrison,708
Navy,709
1950s,710
aging,711
Clousseau,712
boxing,713
I am your father,714
Inigo Montoya,715
six-fingered man,716
ark of the covenant,717
spaghetti western,718
Middle East,719
brainwashing,720
Harper Lee,721
ferris wheel,722
Venice,723
zither,724
Norman Bates,725
Saturday Night Live,726
Mozart,727
Salieri,728
New York,729
The Entertainer,730
May-December romance,731
Shakespeare sort of,732
Simon and Garfunkel,733
POW,734
incest,735
Cold,736
skiing,737
Nazis,738
gunfight,739
Hammett,740
heavy metal,741
mockumentary,742
Holy Grail,743
E. M. Forster,744
baseball,745
birds,746
lawyer,747
prom,748
vampires,749
demons,750
personals ads,751
Borg,752
ex-con,753
Arthur Miller,754
Klingons,755
Captain Kirk,756
whales,757
Shark,758
sports,759
spying,760
slasher,761
Hawkeye,762
James Fennimore Cooper,763
Conan,764
Andrew Lloyd Weber,765
jungle,766
Tolstoy,767
reunion,768
ballroom dance,769
dinosaurs,770
transplants,771
1970s,772
Queen Victoria,773
lawyers,774
Henry James,775
Amish,776
alternate universe,777
Savannah,778
Canada,779
shipwreck,780
Charles Dickens,781
1980s,782
No DVD at Netflix,783
conspiracy,784
ships,785
Judaism,786
Huey Long,787
Robert Penn Warren,788
coulda been a contender,789
Gangs,790
Dickens,791
Olympics,792
China,793
autism,794
rasicm,795
Jason,796
California,797
Mexico,798
Katzanzakis,799
General Motors,800
Michigan,801
suburbia,802
carnival,803
Ray Bradbury,804
mermaid,805
weather forecaster,806
S.E. Hinton,807
Tolkein,808
mice,809
aquarium,810
Boston,811
Capone,812
small towns,813
train,814
In Your Eyes,815
Lloyd Dobbler,816
freaks,817
Broadway,818
South America,819
Moses,820
e-mail,821
doctors,822
Hungary,823
stapler,824
workplace,825
evil children,826
Siam,827
southern US,828
golfing,829
virtual reality,830
motherhood,831
prequel,832
the Force,833
alternate endings,834
Star Trek,835
spiders,836
claims to be true,837
video,838
crucifixion,839
slavery,840
nostalgia,841
I see dead people,842
aviation,843
Beatles,844
river,845
Academy award (Best Supporting Actress),846
Indonesia,847
nightclub,848
island,849
brothers,850
lawn mower,851
live action/animation,852
tobacco,853
dance marathon,854
class,855
camp,856
Up series,857
Ichabod Crane,858
depression,859
dust bowl,860
Graham Greene,861
fatherhood,862
black-and-white,863
L.A.,864
Andy Kaufman,865
a dingo ate my baby,866
nuns,867
plastic surgery,868
E.M. Forster,869
figure skating,870
big top,871
circus,872
blind,873
orphans,874
subway,875
Peace Corp,876
scandal,877
college,878
TOGA,879
Insurance,880
Pearl S Buck,881
Hepburn and Tracy,882
interracial marriage,883
prejudice,884
factory,885
pool,886
evolution,887
Nick Hornby,888
Peter Pan,889
families,890
psychiatrist,891
rabbi,892
suicide,893
business,894
Pee Wee Herman,895
mining,896
missing children,897
diabetes,898
televangelist,899
Rolling Stone,900
blindness,901
invisibility,902
ballet,903
Dr. Seuss,904
stand-up comedy,905
pageant,906
bluegrass,907
Quakers,908
psychopaths,909
reality TV,910
Eugene O'Neill,911
preacher,912
virginity,913
Hannibal Lecter,914
von Bulow,915
Backwards. memory,916
singletons,917
Nabokov,918
Union,919
fairy tales,920
Strangers on a Train,921
accident,922
rape,923
immigrants,924
hippies,925
prodigies,926
Nuclear disaster,927
Loretta Lynn,928
Tradition!,929
singers,930
whimsical,931
Agatha Christie,932
Ghost,933
Dumas,934
books,935
sisterhood,936
women,937
Oscar Wilde,938
younger men,939
AS Byatt,940
photography,941
bombs,942
Lou Gehrig,943
violence in america,944
pudding,945
World War I,946
art,947
teenagers,948
salute to Douglas Sirk,949
music business,950
short films,951
jazz,952
planes,953
doll,954
Chile,955
Stephen Crane,956
Day and Hudson,957
Stones of Summer,958
soccer,959
lions,960
Big Brothers,961
Titanic,962
spelling bee,963
Jean Grey,964
Magneto,965
Rogue,966
Wolverine,967
teachers,968
trains,969
retro,970
They Might Be Giants,971
child abuse,972
Ninotchka remake,973
Tokyo,974
Dodie Smith,975
flood,976
immigration,977
Othello,978
cancer,979
road trip,980
multiple roles,981
FBI,982
terminal illness,983
con men,984
vertriloquism,985
matchmaker,986
vampire,987
biking,988
Lonesome Polecat,989
Watergate,990
domestic violence,991
werewolf,992
Thanksgiving,993
Rita Hayworth can dance!,994
rap,995
saint,996
good and evil,997
Scott Turow,998
cattle drive,999
Marx brothers,1000
opera,1001
real estate,1002
Charlotte Bronte,1003
truckers,1004
mountain climbing,1005
Grace,1006
multiple personalities,1007
deaf,1008
space station,1009
MacBeth,1010
Amtrak,1011
independent,1012
Sundance award winner,1013
Van Gogh,1014
Not available from Netflix,1015
Anne Boleyn,1016
Clock,1017
Prince,1018
convent,1019
ogres,1020
deafness,1021
McDonalds,1022
Doc Ock,1023
Cole Porter,1024
Stand Up,1025
Oscar (Best Supporting Actress),1026
parenthood,1027
stage,1028
wine,1029
abortion,1030
Hearst,1031
gold,1032
mirrors,1033
donkey,1034
saints,1035
camels,1036
genocide,1037
roald dahl,1038
Howard Hughes,1039
busniess,1040
06 Oscar Nominated Best Movie - Animation,1041
parrots,1042
money,1043
hip hop,1044
Firefly,1045
bears,1046
Truman Capote,1047
McCarthy hearings,1048
Morrow,1049
Johnny Cash,1050
villain nonexistent or not needed for good story,1051
stop looking at me swan,1052
androids,1053
Philip K. Dick,1054
Scifi masterpiece,1055
drama,1056
Michael Bay,1057
GIVE ME BACK MY SON!,1058
It was melodramatic and kind of dumb,1059
James Stewart,1060
photographer,1061
eerie,1062
neo-noir,1063
George Lucas,1064
Harrison Ford,1065
original plot,1066
anti-war,1067
cameo:Whoopi Goldberg,1068
best comedy,1069
Chris Klein,1070
dumb,1071
Jason Biggs,1072
not funny,1073
pizza beer,1074
Seann William Scott,1075
teen,1076
guns,1077
Jesse Ventura,1078
macho,1079
comics,1080
father-son relationship,1081
unique,1082
creativity,1083
free to download,1084
imagination,1085
no dialogue,1086
Well Done,1087
crappy sequel,1088
first was much better,1089
love,1090
M. Night Shyamalan,1091
big budget,1092
Halle Berry,1093
bad,1094
disappointing,1095
faerie tale,1096
fairy tale,1097
far fetched,1098
Paul Giamatti,1099
costume drama,1100
Michael Cera,1101
nerds,1102
self discovery,1103
shenanigans,1104
alone in the world,1105
last man on earth,1106
notable soundtrack,1107
teenage pregnancy,1108
Colin Farrell,1109
Ralph Fiennes,1110
movies about movies,1111
Coen Bros,1112
George Clooney,1113
John Malkovich,1114
twists & turns,1115
weird,1116
2D animation,1117
joss whedon,1118
Nathan Fillion,1119
Neil Patrick Harris,1120
Andy Samberg,1121
bromantic,1122
Jaime Pressly,1123
Jason Segel,1124
masculinity,1125
2001-like,1126
solitude,1127
too many characters,1128
lack of development,1129
lack of story,1130
quick cuts,1131
Simon Pegg,1132
FIGHTING THE SYSTEM,1133
franchise,1134
new composer,1135
Recap,1136
needed more autobots,1137
ridiculous,1138
Shia LaBeouf,1139
stop using useless characters for filler,1140
artistic,1141
inspiring,1142
intelligent,1143
Zooey Deschanel,1144
intelligent sci-fi,1145
bad humor,1146
bad science,1147
futuristic,1148
graphic design,1149
James Cameron,1150
poor dialogue,1151
superficial plot,1152
unoriginal,1153
white guilt,1154
geeky,1155
video games,1156
male nudity,1157
action choreography,1158
Horrid characterisation,1159
Poor plot development,1160
passion,1161
purity of essence,1162
Slim Pickens,1163
Deep Throat,1164
Dan Aykroyd,1165
enjoyable,1166
bubba gump shrimp,1167
lieutenant dan,1168
stupid is as stupid does,1169
biography,1170
philosophy,1171
cheating,1172
lies,1173
smart,1174
memory loss,1175
sad,1176
Denzel Washington,1177
robbery,1178
small time criminals,1179
casino,1180
hotel,1181
Las Vegas,1182
complicated,1183
dead wife,1184
intellectual,1185
too much love interest,1186
economics,1187
investor corruption,1188
truth,1189
Captain America,1190
silly,1191
superhero team,1192
bank,1193
big corporations,1194
financial crisis,1195
Kevin Spacey,1196
realistic,1197
Wall Street,1198
interesting scenario,1199
cia,1200
Thrilling,1201
cliche characters,1202
long shots,1203
Simple,1204
slow action,1205
hostage,1206
ocean,1207
Stock Market,1208
fun,1209
off-beat comedy,1210
heartwarming,1211
touching,1212
existentialism,1213
philosophical,1214
confrontational,1215
earnest,1216
great screenplay,1217
gritty,1218
Motivational,1219
cerebral,1220
reflective,1221
chilly,1222
menacing,1223
oninous,1224
avant-garde romantic comedy,1225
elegiac,1226
melancholy,1227
wry,1228
artsy,1229
enigmatic,1230
beautiful,1231
poignant,1232
tear jerker,1233
tearjerking,1234
gentle,1235
lyrical,1236
downbeat,1237
crazy,1238
great cinematography,1239
easygoing,1240
art house,1241
cryptic,1242
fucked up,1243
gruesome,1244
Insane,1245
strange,1246
somber,1247
dreamy,1248
elegant,1249
heartbreaking,1250
intimate,1251
loneliness,1252
long takes,1253
longing,1254
melancholic,1255
moody,1256
nocturnal,1257
romantic,1258
"""artsy""",1259
anger,1260
awkward,1261
symbolism,1262
unconventional,1263
wistful,1264
grim,1265
tragedy,1266
tragic,1267
meditative,1268
purposefulness,1269
bleak,1270
harsh,1271
haunting,1272
inhumane,1273
arthouse,1274
colourful,1275
happpiness,1276
humane,1277
insightful,1278
lovely,1279
mind-bending,1280
quirky romantic,1281
surrealism,1282
symbolic,1283
bizarre,1284
twisted,1285
trippy,1286
character study,1287
intense,1288
abstract,1289
great humor,1290
beautiful cinematography,1291
beautifully filmed,1292
philosopical,1293
fatalistic,1294
cheeky,1295
colorful,1296
imaginative,1297
bad dialogue,1298
philosophical issues,1299
adorable,1300
Eccentric,1301
introspection,1302
Great Visuals,1303
unlikely hero,1304
bizzare,1305
slick,1306
understated,1307
Visually Striking,1308
tension,1309
contemplative,1310
Existential,1311
nightmare,1312
beautiful visuals,1313
good cinematography,1314
predictible plot,1315
brilliant,1316
allegorical,1317
uncomfortable,1318
unsettling,1319
bad music,1320
Sinbad,1321
seen at the cinema,1322
Not Seen,1323
good,1324
really bad,1325
Great movie,1326
Wesley Snipes,1327
BEST PICTURE,1328
HORRIBLE ACTING,1329
assassins,1330
awkward romance,1331
French,1332
Gary Oldman,1333
great acting,1334
Lolita theme,1335
Luc Besson,1336
Natalie Portman,1337
police corruption,1338
1990s,1339
achronological,1340
action packed,1341
aggressive,1342
amazing,1343
amazing dialogues,1344
anthology,1345
bad ass,1346
bad language,1347
bad-ass,1348
biblical references,1349
big boys with guns,1350
big name actors,1351
black humor,1352
black humour,1353
blood,1354
blood splatters,1355
casual violence,1356
character development,1357
classic movie,1358
coke,1359
conversation,1360
cool,1361
cool style,1362
crime scene scrubbing,1363
cult classic,1364
dancing,1365
different,1366
diner,1367
disjointed timeline,1368
drug overdose,1369
drugs & music,1370
entertaining,1371
entirely dialogue,1372
episodic,1373
exciting,1374
fast paced,1375
fast-paced,1376
film noir,1377
film-noir,1378
foul language,1379
genius,1380
golden watch,1381
good music,1382
gore,1383
great dialogue,1384
Harvey Keitel,1385
homosexuality,1386
iconic,1387
innovative,1388
intertwining storylines,1389
interwoven storylines,1390
irony,1391
John Travolta,1392
killer-as-protagonist,1393
los angeles,1394
meaningless violence,1395
milkshake,1396
mobster,1397
mobsters,1398
monologue,1399
motherfucker,1400
multiple stories,1401
noir,1402
non-linear timeline,1403
nonlinear narrative,1404
nonlinear storyline,1405
nonlinear timeline,1406
organised crime,1407
out of order,1408
Palme d'Or,1409
pop culture references,1410
pulp,1411
r:disturbing violent content including rape,1412
r:disturbing violent images,1413
r:graphic sexuality,1414
r:some violence,1415
r:strong bloody violence,1416
r:strong language,1417
r:sustained strong stylized violence,1418
r:violence,1419
random,1420
Roger Avary,1421
royal with cheese,1422
sexy,1423
smart writing,1424
sophisticated,1425
splatter,1426
storytelling,1427
travolta,1428
Uma Thurman,1429
unpredictable,1430
unusual,1431
apes,1432
Arthur C. Clarke,1433
computer,1434
confusing ending,1435
Dull,1436
Oscar (Best Effects - Visual Effects),1437
relaxing,1438
revolutionary,1439
setting:space/space ship,1440
slow,1441
slow paced,1442
spacecraft,1443
superb soundtrack,1444
technology,1445
tedious,1446
visual,1447
bowling,1448
deadpan,1449
John Goodman,1450
Julianne Moore,1451
marijuana,1452
Philip Seymour Hoffman,1453
ransom,1454
rug,1455
satirical,1456
challenging,1457
Chuck Palahniuk,1458
consumerism,1459
David Fincher,1460
double life,1461
fighting,1462
imaginary friend,1463
mind-blowing,1464
Nudity (Topless),1465
Palahnuik,1466
postmodern,1467
societal criticism,1468
British,1469
Romans,1470
70mm,1471
for katie,1472
austere,1473
gun fu,1474
heroic bloodshed,1475
