movieId,imdbId,posterURL,title,releaseYear,directorId,runtime,overview,criticScore,boxOffice
26,0114057,"https://m.media-amazon.com/images/M/MV5BMzJkMzdmMjMtOGVmNC00NTI4LWJjNTMtNGE4ZGMzYjU1ZDk5XkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg",Othello,1995,26,123,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",6.8,2844379
27,0114011,"https://m.media-amazon.com/images/M/MV5BZjg1Zjg4NjItNDk1My00ZTEwLWJkZjMtOGZiNmE2OTQ1NTI4XkEyXkFqcGc@._V1_QL75_UX190_CR0,8,190,281_.jpg",Now and Then,1995,27,102,Four childhood friends gather together to prepare for the birth of Chrissey's baby. They wonder how the girls they were at 12 years could possibly have become the women they are now.,6.8,37591674
28,0114117,"https://m.media-amazon.com/images/M/MV5BOGM1Mjk1Y2EtMDBiMy00MDAxLWI0NmEtNzExYjM4NDVmZDZjXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Persuasion,1995,29,103,Theatrical film of Persuasion with Ciaran Hinds & Amanda Root. Directed by Roger Michell.,7.6,5269757
29,0112682,"https://m.media-amazon.com/images/M/MV5BMTc5YWUxOGUtYWQ2OC00ZTMyLWI5MTktNjNkZjNmZTA1OWYyXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","City of Lost Children, The (Cité des enfants perdus, La)",1995,28,112,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",7.5,1783616
30,0115012,"https://m.media-amazon.com/images/M/MV5BMjExNzU2NDctYTQ4My00MmFkLTljN2UtN2MzYWQ1NTFiNDEyXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",Shanghai Triad (Yao a yao yao dao waipo qiao),1995,30,108,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,7.1,2086101
31,0112792,"https://m.media-amazon.com/images/M/MV5BODc5ZDI2ZDYtYjZiMy00MzZjLWEwNWUtNTljNDEwYWQ3YjQ5XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Dangerous Minds,1995,31,99,"LouAnne, a retired US marine, becomes a teacher in a Californian high school. But her mostly Latino and black students from an impoverished and racially segregated locality do not easily embrace her.",6.5,179519401
32,0114746,"https://m.media-amazon.com/images/M/MV5BMDQwNDY0M2MtOGFmNy00ZjI5LTkzN2ItMzg5M2IwZTZjY2MyXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",Twelve Monkeys (a.k.a. 12 Monkeys),1995,32,129,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",8,168839459
34,0112431,"https://m.media-amazon.com/images/M/MV5BODYxZWZiMTgtMjJhOC00OTE1LTk0MmQtMGFiOGY3ZTAwZGRjXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",Babe,1995,33,91,"Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals accept him?",6.9,254134910
36,0112818,"https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg",Dead Man Walking,1995,34,122,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",7.5,39363635
38,0113442,"https://m.media-amazon.com/images/M/MV5BMTQ3YTE5NmItNTRjNC00NjdlLTgwNmYtNDRkNmJiZjZiNGE3XkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",It Takes Two,1995,36,101,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",6,19474589
39,0112697,"https://m.media-amazon.com/images/M/MV5BMTgwYjQ1NDktOTcwNi00MWZhLTliYWQtZDg5NjZhY2U5ZTNlXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",Clueless,1995,35,97,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",6.9,56698025
40,0112749,"https://m.media-amazon.com/images/M/MV5BZjQ1M2Y2ZTgtN2U3OS00YTUxLTgwZmUtNjk1YTdjYTdmYWQzXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg","Cry, the Beloved Country",1995,37,106,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",6.8,670727
41,0114279,"https://m.media-amazon.com/images/M/MV5BMWZjODNlYzAtNWIxZC00ZWRkLWFlMjctZGVlMDYxZTU1MGM1XkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg",Richard III,1995,38,104,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,7.3,2748518
42,0112819,"https://m.media-amazon.com/images/M/MV5BNTUzZTczZGItNjY4My00YTIyLTgyODYtNjFmNDY2ZWJlNTlmXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg",Dead Presidents,1995,39,119,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",6.9,24147179
43,0114272,"https://m.media-amazon.com/images/M/MV5BOWZjM2NjM2EtMDkyNi00ODFiLWIwMTktM2JmMzUxODQ3YmRlXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg",Restoration,1995,40,117,"The exiled royal doctor to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",6.6,4005941
44,0113855,"https://m.media-amazon.com/images/M/MV5BNjQyYjJjMzEtZTYzYy00ZjFmLTlkNTktNDI5ZjIwNTAxOWE0XkEyXkFqcGc@._V1_QL75_UX190_CR0,8,190,281_.jpg",Mortal Kombat,1995,42,101,Three martial artists are forced to battle demonic adversaries in another dimension with the fate of the world hanging in the balance.,5.8,122195920
45,0114681,"https://m.media-amazon.com/images/M/MV5BZWJlODViYTUtMzY3MS00ZDRlLTkzODQtMDdiOTBiN2E0MDA5XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",To Die For,1995,41,106,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,6.8,21286518
46,0113347,"https://m.media-amazon.com/images/M/MV5BZjJhNDc5MDItNGQ3My00ODgxLWE0ZTEtZDYwMmUwNzRmMDZiXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",How to Make an American Quilt,1995,43,117,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,6.3,41200020
47,0114369,"https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_QL75_UX190_CR0,8,190,281_.jpg",Seven (a.k.a. Se7en),1995,44,127,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",8.6,328625069
48,0114148,"https://m.media-amazon.com/images/M/MV5BY2ZlNTUxM2MtYmJhYS00Y2E5LTlmYTItZDhlNWJmMmRiYTYzXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",Pocahontas,1995,45,81,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,6.7,346079773
49,0114916,"https://m.media-amazon.com/images/M/MV5BZjMxMDYyNjItYjAwYi00NmExLWFiOTEtZWYzOGUzNmY3NmI2XkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg",When Night Is Falling,1995,46,94,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",6.5,919671
50,0114814,"https://m.media-amazon.com/images/M/MV5BOTE5MDUxZDUtZWZmZC00NDVmLWFhOGQtNWI2YTc4NzY3MGQ0XkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg","Usual Suspects, The",1995,47,106,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,8.5,23341568
52,0113819,"https://m.media-amazon.com/images/M/MV5BNGY4MWQ2Y2QtMzliZC00NTc3LWJmMGYtMzUxYWI0YTFhYTY4XkEyXkFqcGc@._V1_QL75_UX190_CR0,4,190,281_.jpg",Mighty Aphrodite,1995,49,95,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",7,6468498
53,0110299,"https://m.media-amazon.com/images/M/MV5BMzgzODMwMWMtY2RhMi00OGEwLWFmNjktZmMxMTI1MzUzMTk1XkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg",Lamerica,1994,48,116,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets the eye.",7.4,4788331
54,0112499,"https://m.media-amazon.com/images/M/MV5BNzk0YTczMGQtNjc3Yi00ZmY4LTljYTctMTRkNjlmNDBkYmEwXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg","Big Green, The",1995,50,100,"A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.",5.5,17736619
55,0113158,"https://m.media-amazon.com/images/M/MV5BZDk3YzZjMjItZjYzYi00YjMyLWI0ZDctYmQzZDFlMjViNDAzXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Georgia,1995,51,115,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,6.5,1110104
57,0113321,"https://m.media-amazon.com/images/M/MV5BMDI1ZmZhMDQtMDZkMC00M2VlLWJjZDMtYmEyMWRiMDIwZGJiXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg",Home for the Holidays,1995,52,103,"After being fired, making out with her soon-to-be ex-boss, and discovering that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces the unenviable task of spending the holiday with her exceedingly dull family.",6.6,17519169
58,0110877,"https://m.media-amazon.com/images/M/MV5BMTE1OTJkMmEtZDBmNC00ZTBiLWEwYTQtODEzNGU2OTAxZmU5XkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg","Postman, The (Postino, Il)",1994,54,108,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",7.8,21898920
60,0113419,"https://m.media-amazon.com/images/M/MV5BNmIzNTIzYTEtYWM5Zi00NmRiLTk4NzYtYTRiZmI0OWZkYjBhXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","Indian in the Cupboard, The",1995,53,96,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick.",6,35656131
61,0116260,"https://m.media-amazon.com/images/M/MV5BYzg3MDc5ZWEtMTc3Ny00YWEzLTlmMTgtMjk3NGJjMmNjOTYyXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Eye for an Eye,1996,55,101,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",6.2,26877589
62,0113862,"https://m.media-amazon.com/images/M/MV5BZGJkOTFkYjEtNzg5Zi00NWIyLTkyN2QtMDExNjk1NTg1NTQ1XkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",Mr. Holland's Opus,1995,56,144,A frustrated composer finds fulfillment as a high school music teacher.,7.3,106269971
63,0116126,"https://m.media-amazon.com/images/M/MV5BZGM0NTAyMWEtNDBjNi00MjkwLWFhM2UtNDExNmVmMzEzNzExXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,57,89,"A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).",6.5,20949601
64,0118002,"https://m.media-amazon.com/images/M/MV5BYzRjYWVlNzEtZDRhMS00OGExLTk1MGEtOWU0NjRkM2ViNmYyXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Two if by Sea,1996,58,96,"A couple steals a Matisse painting on contract and manage to evade the police. The sale takes place four days later on an island, but things don't go as planned.",5.3,10658278
65,0115683,"https://m.media-amazon.com/images/M/MV5BNGMxNGI5YWEtNzI5Yi00ZmY0LTk2NWQtMjk3MTRlNGZmMmQ1XkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",Bio-Dome,1996,59,88,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",4.4,13427615
66,0116839,"https://m.media-amazon.com/images/M/MV5BMjkxZDdlMTQtZGZlZC00ZWNiLWFiYmYtY2JlODgwMTE1YTY3XkEyXkFqcGc@._V1_QL75_UX190_CR0,8,190,281_.jpg",Lawnmower Man 2: Beyond Cyberspace,1996,61,93,"They thought they had destroyed him, but the simple gardener-turned-superkiller has found a way to reboot himself in Lawnmower Man 2: Beyond Cyberspace.",2.6,2409225
68,0113149,"https://m.media-amazon.com/images/M/MV5BMTY2ZDdlY2YtYzdkNi00MzcxLTgxYjMtMmQ1ZjMyNTBmYTU0XkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg",French Twist (Gazon maudit),1995,60,104,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",6.4,1026646
69,0113118,"https://m.media-amazon.com/images/M/MV5BMWI3MmM2MTItN2MxZS00Y2NhLWE5ZWEtMzU3YWNiNmU3NmFmXkEyXkFqcGc@._V1_QL75_UX190_CR0,6,190,281_.jpg",Friday,1995,62,91,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",7.2,28215918
70,0116367,"https://m.media-amazon.com/images/M/MV5BZGNjMWMwNWEtYTQ2YS00N2E5LTg5ZWYtMDgzM2UxMTE1ZTE4XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",From Dusk Till Dawn,1996,63,108,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",7.2,25839496
71,0113010,"https://m.media-amazon.com/images/M/MV5BMDc2MzAxOTktYWQ3Yy00NzJhLWFkNmQtN2QzMDFmMWYyODUxXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",Fair Game,1995,64,91,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",4.4,11534477
72,0113537,"https://m.media-amazon.com/images/M/MV5BNDY3NjUyODMtMGY5OS00M2Q1LTllOGItZGQ0YTFiNjhhNDZiXkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg",Kicking and Screaming,1995,65,96,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.",6.7,718490
73,0113828,"https://m.media-amazon.com/images/M/MV5BNmYyZjA0YmEtNGU5Ni00YzVjLWJkMTAtZmU0NGI2Y2Y3ODQwXkEyXkFqcGc@._V1_QL75_UY281_CR8,0,190,281_.jpg","Misérables, Les",1995,67,175,A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.,7.4,740048
74,0115644,"https://m.media-amazon.com/images/M/MV5BZTE2NjhiZDYtNDRjNS00NDY4LWI3ZmMtMWQyY2FlMmIxYzRlXkEyXkFqcGc@._V1_QL75_UX190_CR0,5,190,281_.jpg",Bed of Roses,1996,66,87,Follows a young career girl who is swept off her feet by a shy florist who fell in love with her after one glimpse through a shadowy window.,6.1,27315527
75,0115676,"https://m.media-amazon.com/images/M/MV5BYTFmNTI5MGItMGMxZi00NjM2LWE0ZTUtMzQyMmVlOWMwZTJkXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Big Bully,1996,69,90,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",4.8,2042530
76,0114367,"https://m.media-amazon.com/images/M/MV5BMmVkMjcwMjktOGY2MC00ZGFkLWI1NWQtYTJjNTk2N2U0NWZmXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Screamers,1995,68,108,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained sentience.",6.3,5711695
77,0113973,"https://m.media-amazon.com/images/M/MV5BNTY2MDM2NzcyM15BMl5BanBnXkFtZTcwMjk3MzcyMQ@@._V1_QL75_UY281_CR1,0,190,281_.jpg",Nico Icon,1995,70,67,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",7.2,306691
78,0112744,"https://m.media-amazon.com/images/M/MV5BNGNjMTcxNzgtM2JiYS00MDc0LWEwYmItOTY1M2JkMzc5MDE4XkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg","Crossing Guard, The",1995,71,111,Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.,6.3,868979
79,0116731,"https://m.media-amazon.com/images/M/MV5BNDVjZDlkZWMtZjg3Mi00OTc3LWI2YmYtMjYyZmVjZDRjN2E0XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","Juror, The",1996,72,118,A juror in a Mafia trial is forced by a compulsive mob enforcer to convince the other jurors to vote not guilty.,5.7,22754725
80,0112445,"https://m.media-amazon.com/images/M/MV5BM2E0OGRkOGQtMzhiOC00NDUxLThjMzYtNTM4ZTNhYWU1NmQ1XkEyXkFqcGc@._V1_QL75_UY281_CR10,0,190,281_.jpg","White Balloon, The (Badkonake sefid)",1995,73,85,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,7.6,924940
